,0
0,"Pitches: [0, 4, 7], Name: Major"
1,"Pitches: [0, 4, 7], Name: Major"
2,"Pitches: [0, 4, 7], Name: Major"
3,"Pitches: [0, 4, 7], Name: Major"
4,"Pitches: [0, 4, 7], Name: Major"
5,"Pitches: [0, 4, 7], Name: Major"
6,"Pitches: [0, 4, 7], Name: Major"
7,"Pitches: [0, 4, 7], Name: Major"
8,"Pitches: [0, 4, 7], Name: Major"
9,"Pitches: [0, 4, 7], Name: Major"
10,"Pitches: [0, 4, 7], Name: Major"
11,"Pitches: [0, 4, 7], Name: Major"
12,"Pitches: [0, 4, 7], Name: Major"
13,"Pitches: [0, 4, 7], Name: Major"
14,"Pitches: [0, 4, 7], Name: Major"
15,"Pitches: [0, 4, 7], Name: Major"
16,"Pitches: [0, 4, 7], Name: Major"
17,"Pitches: [0, 4, 7], Name: Major"
18,"Pitches: [0, 4, 7], Name: Major"
19,"Pitches: [0, 4, 7], Name: Major"
20,"Pitches: [0, 4, 7], Name: Major"
21,"Pitches: [0, 4, 7], Name: Major"
22,"Pitches: [0, 4, 7], Name: Major"
23,"Pitches: [0, 4, 7], Name: Major"
24,"Pitches: [0, 4, 7], Name: Major"
25,"Pitches: [0, 4, 7], Name: Major"
26,"Pitches: [0, 4, 7], Name: Major"
27,"Pitches: [0, 4, 7], Name: Major"
28,"Pitches: [0, 4, 7], Name: Major"
29,"Pitches: [0, 4, 7], Name: Major"
30,"Pitches: [0, 4, 7], Name: Major"
31,"Pitches: [0, 4, 7], Name: Major"
32,"Pitches: [0, 4, 7], Name: Major"
33,"Pitches: [0, 4, 7], Name: Major"
34,"Pitches: [0, 4, 7], Name: Major"
35,"Pitches: [0, 4, 7], Name: Major"
36,"Pitches: [0, 4, 7], Name: Major"
37,"Pitches: [0, 4, 7], Name: Major"
38,"Pitches: [0, 4, 7], Name: Major"
39,"Pitches: [0, 4, 7], Name: Major"
40,"Pitches: [0, 4, 7], Name: Major"
41,"Pitches: [0, 4, 7], Name: Major"
42,"Pitches: [0, 4, 7], Name: Major"
43,"Pitches: [0, 4, 7], Name: Major"
44,"Pitches: [0, 4, 7], Name: Major"
45,"Pitches: [0, 4, 7], Name: Major"
46,"Pitches: [0, 4, 7], Name: Major"
47,"Pitches: [0, 4, 7], Name: Major"
48,"Pitches: [0, 4, 7], Name: Major"
49,"Pitches: [0, 4, 7], Name: Major"
50,"Pitches: [0, 4, 7], Name: Major"
51,"Pitches: [0, 4, 7], Name: Major"
52,"Pitches: [0, 4, 7], Name: Major"
53,"Pitches: [0, 4, 7], Name: Major"
54,"Pitches: [0, 4, 7], Name: Major"
55,"Pitches: [0, 4, 7], Name: Major"
56,"Pitches: [0, 4, 7], Name: Major"
57,"Pitches: [0, 4, 7], Name: Major"
58,"Pitches: [0, 4, 7], Name: Major"
59,"Pitches: [0, 4, 7], Name: Major"
60,"Pitches: [0, 4, 7], Name: Major"
61,"Pitches: [0, 4, 7], Name: Major"
62,"Pitches: [0, 4, 7], Name: Major"
63,"Pitches: [0, 4, 7], Name: Major"
64,"Pitches: [0, 4, 7], Name: Major"
65,"Pitches: [0, 4, 7], Name: Major"
66,"Pitches: [0, 4, 7], Name: Major"
67,"Pitches: [0, 4, 7], Name: Major"
68,"Pitches: [0, 4, 7], Name: Major"
69,"Pitches: [0, 4, 7], Name: Major"
70,"Pitches: [0, 4, 7], Name: Major"
71,"Pitches: [0, 4, 7], Name: Major"
72,"Pitches: [0, 4, 7], Name: Major"
73,"Pitches: [0, 4, 7], Name: Major"
74,"Pitches: [0, 4, 7], Name: Major"
75,"Pitches: [0, 4, 7], Name: Major"
76,"Pitches: [0, 4, 7], Name: Major"
77,"Pitches: [0, 4, 7], Name: Major"
78,"Pitches: [0, 4, 7], Name: Major"
79,"Pitches: [0, 4, 7], Name: Major"
80,"Pitches: [0, 4, 7], Name: Major"
81,"Pitches: [0, 4, 7], Name: Major"
82,"Pitches: [0, 4, 7], Name: Major"
83,"Pitches: [0, 4, 7], Name: Major"
84,"Pitches: [0, 4, 7], Name: Major"
85,"Pitches: [0, 4, 7], Name: Major"
86,"Pitches: [0, 4, 7], Name: Major"
87,"Pitches: [0, 4, 7], Name: Major"
88,"Pitches: [0, 4, 7], Name: Major"
89,"Pitches: [0, 4, 7], Name: Major"
90,"Pitches: [0, 4, 7], Name: Major"
91,"Pitches: [0, 4, 7], Name: Major"
92,"Pitches: [0, 4, 7], Name: Major"
93,"Pitches: [0, 4, 7], Name: Major"
94,"Pitches: [0, 4, 7], Name: Major"
95,"Pitches: [0, 4, 7], Name: Major"
96,"Pitches: [0, 4, 7], Name: Major"
97,"Pitches: [0, 4, 7], Name: Major"
98,"Pitches: [0, 4, 7], Name: Major"
99,"Pitches: [0, 4, 7], Name: Major"
100,"Pitches: [0, 4, 7], Name: Major"
101,"Pitches: [0, 4, 7], Name: Major"
102,"Pitches: [0, 4, 7], Name: Major"
103,"Pitches: [0, 4, 7], Name: Major"
104,"Pitches: [0, 4, 7], Name: Major"
105,"Pitches: [0, 4, 7], Name: Major"
106,"Pitches: [0, 4, 7], Name: Major"
107,"Pitches: [0, 4, 7], Name: Major"
108,"Pitches: [0, 4, 7], Name: Major"
109,"Pitches: [0, 4, 7], Name: Major"
110,"Pitches: [0, 4, 7], Name: Major"
111,"Pitches: [0, 4, 7], Name: Major"
112,"Pitches: [0, 4, 7], Name: Major"
113,"Pitches: [0, 4, 7], Name: Major"
114,"Pitches: [0, 4, 7], Name: Major"
115,"Pitches: [0, 4, 7], Name: Major"
116,"Pitches: [0, 4, 7], Name: Major"
117,"Pitches: [0, 4, 7], Name: Major"
118,"Pitches: [0, 4, 7], Name: Major"
119,"Pitches: [0, 4, 7], Name: Major"
120,"Pitches: [0, 4, 7], Name: Major"
121,"Pitches: [0, 4, 7], Name: Major"
122,"Pitches: [0, 4, 7], Name: Major"
123,"Pitches: [0, 4, 7], Name: Major"
124,"Pitches: [0, 4, 7], Name: Major"
125,"Pitches: [0, 4, 7], Name: Major"
126,"Pitches: [0, 4, 7], Name: Major"
127,"Pitches: [0, 4, 7], Name: Major"
128,"Pitches: [0, 4, 7], Name: Major"
129,"Pitches: [0, 4, 7], Name: Major"
130,"Pitches: [0, 4, 7], Name: Major"
131,"Pitches: [0, 4, 7], Name: Major"
132,"Pitches: [0, 4, 7], Name: Major"
133,"Pitches: [0, 4, 7], Name: Major"
134,"Pitches: [0, 4, 7], Name: Major"
135,"Pitches: [0, 4, 7], Name: Major"
136,"Pitches: [0, 4, 7], Name: Major"
137,"Pitches: [0, 4, 7], Name: Major"
138,"Pitches: [0, 4, 7], Name: Major"
139,"Pitches: [0, 4, 7], Name: Major"
140,"Pitches: [0, 4, 7], Name: Major"
141,"Pitches: [0, 4, 7], Name: Major"
142,"Pitches: [0, 4, 7], Name: Major"
143,"Pitches: [0, 4, 7], Name: Major"
144,"Pitches: [0, 4, 7], Name: Major"
145,"Pitches: [0, 4, 7], Name: Major"
146,"Pitches: [0, 4, 7], Name: Major"
147,"Pitches: [0, 4, 7], Name: Major"
148,"Pitches: [0, 4, 7], Name: Major"
149,"Pitches: [0, 4, 7], Name: Major"
150,"Pitches: [0, 4, 7], Name: Major"
151,"Pitches: [0, 4, 7], Name: Major"
152,"Pitches: [0, 4, 7], Name: Major"
153,"Pitches: [0, 4, 7], Name: Major"
154,"Pitches: [0, 4, 7], Name: Major"
155,"Pitches: [0, 4, 7], Name: Major"
156,"Pitches: [0, 4, 7], Name: Major"
157,"Pitches: [0, 4, 7], Name: Major"
158,"Pitches: [0, 4, 7], Name: Major"
159,"Pitches: [0, 4, 7], Name: Major"
160,"Pitches: [0, 4, 7], Name: Major"
161,"Pitches: [0, 4, 7], Name: Major"
162,"Pitches: [0, 4, 7], Name: Major"
163,"Pitches: [0, 4, 7], Name: Major"
164,"Pitches: [0, 4, 7], Name: Major"
165,"Pitches: [0, 4, 7], Name: Major"
166,"Pitches: [0, 4, 7], Name: Major"
167,"Pitches: [0, 4, 7], Name: Major"
168,"Pitches: [0, 4, 7], Name: Major"
169,"Pitches: [0, 4, 7], Name: Major"
170,"Pitches: [0, 4, 7], Name: Major"
171,"Pitches: [0, 4, 7], Name: Major"
172,"Pitches: [0, 4, 7], Name: Major"
173,"Pitches: [0, 4, 7], Name: Major"
174,"Pitches: [0, 4, 7], Name: Major"
175,"Pitches: [0, 4, 7], Name: Major"
176,"Pitches: [0, 4, 7], Name: Major"
177,"Pitches: [0, 4, 7], Name: Major"
178,"Pitches: [0, 4, 7], Name: Major"
179,"Pitches: [0, 4, 7], Name: Major"
180,"Pitches: [0, 4, 7], Name: Major"
181,"Pitches: [0, 4, 7], Name: Major"
182,"Pitches: [0, 4, 7], Name: Major"
183,"Pitches: [0, 4, 7], Name: Major"
184,"Pitches: [0, 4, 7], Name: Major"
185,"Pitches: [0, 4, 7], Name: Major"
186,"Pitches: [0, 4, 7], Name: Major"
187,"Pitches: [0, 4, 7], Name: Major"
188,"Pitches: [0, 4, 7], Name: Major"
189,"Pitches: [0, 4, 7], Name: Major"
190,"Pitches: [0, 4, 7], Name: Major"
191,"Pitches: [0, 4, 7], Name: Major"
192,"Pitches: [0, 4, 7], Name: Major"
193,"Pitches: [0, 4, 7], Name: Major"
194,"Pitches: [0, 4, 7], Name: Major"
195,"Pitches: [0, 4, 7], Name: Major"
196,"Pitches: [0, 4, 7], Name: Major"
197,"Pitches: [0, 4, 7], Name: Major"
198,"Pitches: [0, 4, 7], Name: Major"
199,"Pitches: [0, 4, 7], Name: Major"
200,"Pitches: [0, 4, 7], Name: Major"
201,"Pitches: [0, 4, 7], Name: Major"
202,"Pitches: [0, 4, 7], Name: Major"
203,"Pitches: [0, 4, 7], Name: Major"
204,"Pitches: [0, 4, 7], Name: Major"
205,"Pitches: [0, 4, 7], Name: Major"
206,"Pitches: [0, 4, 7], Name: Major"
207,"Pitches: [0, 4, 7], Name: Major"
208,"Pitches: [0, 4, 7], Name: Major"
209,"Pitches: [0, 4, 7], Name: Major"
210,"Pitches: [0, 4, 7], Name: Major"
211,"Pitches: [0, 4, 7], Name: Major"
212,"Pitches: [0, 4, 7], Name: Major"
213,"Pitches: [0, 4, 7], Name: Major"
214,"Pitches: [0, 4, 7], Name: Major"
215,"Pitches: [0, 4, 7], Name: Major"
216,"Pitches: [0, 4, 7], Name: Major"
217,"Pitches: [0, 4, 7], Name: Major"
218,"Pitches: [0, 4, 7], Name: Major"
219,"Pitches: [0, 4, 7], Name: Major"
220,"Pitches: [0, 4, 7], Name: Major"
221,"Pitches: [0, 4, 7], Name: Major"
222,"Pitches: [0, 4, 7], Name: Major"
223,"Pitches: [0, 4, 7], Name: Major"
224,"Pitches: [0, 4, 7], Name: Major"
225,"Pitches: [0, 4, 7], Name: Major"
226,"Pitches: [0, 4, 7], Name: Major"
227,"Pitches: [0, 4, 7], Name: Major"
